◇ injected env (2) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
[2026-07-20 21:51:20] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: re_6 | Pts: 0 | Debt: 10 | ID: 0.4151044046299557 | Cancelled: false
[2026-07-20 21:51:21] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: re_7 | Pts: 0 | Debt: 10 | ID: 0.12301139821908547 | Cancelled: false
[2026-07-20 21:51:41] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: od_4 | Pts: 5 | Debt: 0 | ID: 0.5311612624405492 | Cancelled: false
[2026-07-20 22:25:01] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: od_3 | Pts: 5 | Debt: 0 | ID: 0.5863172707312483 | Cancelled: false
[2026-07-20 22:25:26] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: sa_2 | Pts: -2 | Debt: 0 | ID: 0.2863001593644434 | Cancelled: false
[2026-07-20 23:13:43] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: ex_1 | Pts: -1 | Debt: 0 | ID: 0.3052585659549194 | Cancelled: false
[2026-07-20 23:59:59] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: mandatory_penalty | Pts: 3 | Debt: 0 | ID: 0.5484471820648167 | Cancelled: false
[2026-07-20 23:59:59] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: daily_debt_settlement | Pts: 0 | Debt: 5 | ID: 0.5861138843298697 | Cancelled: false
[2026-07-21 04:59:36] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: gm_1 | Pts: 5 | Debt: 0 | ID: 0.6320566267070192 | Cancelled: false
[2026-07-21 06:58:32] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: gm_1 | Pts: 20 | Debt: 0 | ID: 0.8745648850291197 | Cancelled: true
[2026-07-21 17:19:25] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: re_1 | Pts: 1 | Debt: 0 | ID: 0.8604959658536029 | Cancelled: false
[2026-07-21 17:19:30] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: od_2 | Pts: 3 | Debt: 0 | ID: 0.33856525101941437 | Cancelled: false
[2026-07-21 17:19:38] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_5 | Pts: -1 | Debt: 0 | ID: 0.6998941982167479 | Cancelled: false
[2026-07-21 17:19:39] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_4 | Pts: -1 | Debt: 0 | ID: 0.7992612681025695 | Cancelled: false
[2026-07-21 17:19:39] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_4 | Pts: -1 | Debt: 0 | ID: 0.045019558258385994 | Cancelled: false
